dataset_name,paper,source_url,github_url,license,domain,task,num_samples,human_annotated,synthetic,query_available,response_available,context_available,retrieval_available,trajectory_available,intervention_available,cost_available,latency_available,risk_labels,quality_labels,factuality_labels,safety_labels,privacy_labels,bias_labels,pairwise_labels,train_split,validation_split,test_split,data_format,download_status,license_status,relevance_score,priority,integration_effort,notes
TriviaQA,Joshi et al. 2017,https://nlp.cs.washington.edu/triviaqa/,https://github.com/mandarjoshi90/triviaqa,Apache-2.0,General,Factual QA,650K,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,4,P1,LOW,Public factual baseline
Natural Questions,Kwiatkowski et al. 2019,https://ai.google.com/research/NaturalQuestions,,Apache-2.0,General,Open-domain QA,307K,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,4,P1,LOW,Open-domain factual QA and RAG
HotpotQA,Yang et al. 2018,https://hotpotqa.github.io/,,CC-BY-SA-4.0,General,Multi-hop QA,113K,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,5,P0,MEDIUM,Multi-step reasoning and multi-source QA
TruthfulQA,Lin et al. 2021,https://github.com/sylinrl/TruthfulQA,,Apache-2.0,General,Hallucination,817,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,CSV,SELECTED,CLEAN,5,P0,LOW,Hallucination failure testing
HaluEval,Ji et al. 2023,https://github.com/RUCAIBox/HaluEval,,MIT,General,Hallucination,35K,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,5,P0,LOW,Automated hallucination and grounding benchmarks
FEVER,Thorne et al. 2018,https://fever.ai/,,CC-BY-4.0,General,Fact verification,145K,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,4,P1,MEDIUM,Evidence grounding verification
SQuAD 2.0,Rajpurkar et al. 2018,https://rajpurkar.github.io/SQuAD-explorer/,,CC-BY-SA-4.0,General,Reading comprehension,150K,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,5,P0,LOW,RAG and unanswerable/insufficient RAG benchmark
ToolBench,Qin et al. 2023,https://github.com/OpenBMB/ToolBench,,MIT,General,Tool use agent,126K,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,JSON,SELECTED,CLEAN,5,P0,HIGH,Tool use and agentic trajectory benchmark
AgentBench,Liu et al. 2023,https://github.com/THUDM/AgentBench,,MIT,General,Agent evaluation,1750,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,JSON,SELECTED,CLEAN,5,P0,HIGH,Agent safety and decision evaluation
MT-Bench,Zheng et al. 2023,https://github.com/lm-sys/FastChat,,Apache-2.0,General,Multi-turn chat,80,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,JSON,SELECTED,CLEAN,4,P1,LOW,Multi-turn conversational context benchmark
MMLU,Hendrycks et al. 2020,https://github.com/hendrycks/test,,MIT,General,Reasoning,14K,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,CSV,SELECTED,CLEAN,4,P1,LOW,Domain-specific reasoning benchmarks
CodeContests,Li et al. 2022,https://github.com/google-deepmind/code_contests,,CC-BY-4.0,Coding,Code generation,13K,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,JSON,SELECTED,CLEAN,3,P2,MEDIUM,Coding and programmatic reasoning benchmarks
